T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243.2000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),"-1,731.5321",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2016,Balance of Payments: Current account (millions of US dollars),"-3,322.7597",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2017,Balance of Payments: Current account (millions of US dollars),"-4,227.1324",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),"2,998.5158",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2016,Balance of Payments: Capital account (millions of US dollars),"1,771.0283",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2017,Balance of Payments: Capital account (millions of US dollars),"1,733.4485",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-74.7865,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),"1,060.6803",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2016,Balance of Payments: Financial account (millions of US dollars),696.7358,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
4,Afghanistan,2017,Balance of Payments: Financial account (millions of US dollars),420.1158,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,1985,Balance of Payments: Current account (millions of US dollars),-36.4000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,1995,Balance of Payments: Current account (millions of US dollars),-11.5000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2005,Balance of Payments: Current account (millions of US dollars),-571.4754,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2010,Balance of Payments: Current account (millions of US dollars),"-1,355.9175",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2016,Balance of Payments: Current account (millions of US dollars),-900.2067,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2017,Balance of Payments: Current account (millions of US dollars),-981.4983,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2018,Balance of Payments: Current account (millions of US dollars),"-1,008.3047",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,1995,Balance of Payments: Capital account (millions of US dollars),389.4000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2005,Balance of Payments: Capital account (millions of US dollars),122.9086,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2010,Balance of Payments: Capital account (millions of US dollars),112.9240,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2016,Balance of Payments: Capital account (millions of US dollars),72.0561,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2017,Balance of Payments: Capital account (millions of US dollars),139.2868,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2018,Balance of Payments: Capital account (millions of US dollars),121.8904,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,1985,Balance of Payments: Financial account (millions of US dollars),-30.4000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,1995,Balance of Payments: Financial account (millions of US dollars),431.5891,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2005,Balance of Payments: Financial account (millions of US dollars),-244.8149,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2010,Balance of Payments: Financial account (millions of US dollars),-797.4152,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2016,Balance of Payments: Financial account (millions of US dollars),-686.1129,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2017,Balance of Payments: Financial account (millions of US dollars),"-1,081.5600",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
8,Albania,2018,Balance of Payments: Financial account (millions of US dollars),-918.8611,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),"1,014.7579",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2005,Balance of Payments: Current account (millions of US dollars),"21,180.0000",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),"12,220.2678",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2016,Balance of Payments: Current account (millions of US dollars),"-26,204.0463",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2017,Balance of Payments: Current account (millions of US dollars),"-22,058.7113",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2005,Balance of Payments: Capital account (millions of US dollars),-3.0000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),3.8236,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2016,Balance of Payments: Capital account (millions of US dollars),0.6115,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2017,Balance of Payments: Capital account (millions of US dollars),0.7199,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),"1,141.2764",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2005,Balance of Payments: Financial account (millions of US dollars),"20,987.8468",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),"10,920.9303",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2016,Balance of Payments: Financial account (millions of US dollars),"-26,178.9397",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
12,Algeria,2017,Balance of Payments: Financial account (millions of US dollars),"-22,015.1616",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,1985,Balance of Payments: Current account (millions of US dollars),195.0000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,1995,Balance of Payments: Current account (millions of US dollars),-295.0470,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2005,Balance of Payments: Current account (millions of US dollars),"5,137.8827",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2010,Balance of Payments: Current account (millions of US dollars),"7,505.9542",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2016,Balance of Payments: Current account (millions of US dollars),"-3,085.1955",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2017,Balance of Payments: Current account (millions of US dollars),-632.8671,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2018,Balance of Payments: Current account (millions of US dollars),"7,502.0260",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2005,Balance of Payments: Capital account (millions of US dollars),7.7700,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2010,Balance of Payments: Capital account (millions of US dollars),0.9339,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2016,Balance of Payments: Capital account (millions of US dollars),0.5902,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2017,Balance of Payments: Capital account (millions of US dollars),2.6257,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2018,Balance of Payments: Capital account (millions of US dollars),2.9311,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,1985,Balance of Payments: Financial account (millions of US dollars),-460.0000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,1995,Balance of Payments: Financial account (millions of US dollars),-314.4155,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2005,Balance of Payments: Financial account (millions of US dollars),"4,571.4693",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2010,Balance of Payments: Financial account (millions of US dollars),"7,219.4377",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2016,Balance of Payments: Financial account (millions of US dollars),"-4,892.3488",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2017,Balance of Payments: Financial account (millions of US dollars),-748.3798,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
24,Angola,2018,Balance of Payments: Financial account (millions of US dollars),"4,720.8892",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,1995,Balance of Payments: Current account (millions of US dollars),-9.5556,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2005,Balance of Payments: Current account (millions of US dollars),-52.0536,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2010,Balance of Payments: Current account (millions of US dollars),-50.6410,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2016,Balance of Payments: Current account (millions of US dollars),-85.7527,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2017,Balance of Payments: Current account (millions of US dollars),-62.2534,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,1995,Balance of Payments: Capital account (millions of US dollars),1.2593,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2005,Balance of Payments: Capital account (millions of US dollars),1.6363,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2010,Balance of Payments: Capital account (millions of US dollars),4.2827,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2016,Balance of Payments: Capital account (millions of US dollars),0.8672,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2017,Balance of Payments: Capital account (millions of US dollars),11.3144,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,1995,Balance of Payments: Financial account (millions of US dollars),4.2926,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2005,Balance of Payments: Financial account (millions of US dollars),-41.7886,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2010,Balance of Payments: Financial account (millions of US dollars),-34.9656,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2016,Balance of Payments: Financial account (millions of US dollars),-19.5896,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
660,Anguilla,2017,Balance of Payments: Financial account (millions of US dollars),-6.8613,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,1985,Balance of Payments: Current account (millions of US dollars),-23.1000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,1995,Balance of Payments: Current account (millions of US dollars),-0.5185,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2005,Balance of Payments: Current account (millions of US dollars),-171.4929,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2010,Balance of Payments: Current account (millions of US dollars),-167.1070,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2016,Balance of Payments: Current account (millions of US dollars),-38.9468,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2017,Balance of Payments: Current account (millions of US dollars),34.4511,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,1995,Balance of Payments: Capital account (millions of US dollars),3.6519,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2005,Balance of Payments: Capital account (millions of US dollars),210.6221,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2010,Balance of Payments: Capital account (millions of US dollars),16.5700,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2016,Balance of Payments: Capital account (millions of US dollars),27.7304,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2017,Balance of Payments: Capital account (millions of US dollars),39.5709,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,1985,Balance of Payments: Financial account (millions of US dollars),-23.1000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,1995,Balance of Payments: Financial account (millions of US dollars),24.1670,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2005,Balance of Payments: Financial account (millions of US dollars),31.7667,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2010,Balance of Payments: Financial account (millions of US dollars),-157.9114,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
28,Antigua and Barbuda,2016,Balance of Payments: Financial account (millions of US dollars),-57.0502,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
