T16,Exchange rates,,,,,,,
Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
4,Afghanistan,1985,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,42.8228,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,1995,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,47.5000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2005,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,50.4100,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2010,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,45.2700,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2015,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,68.0500,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2016,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,66.8394,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2017,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,69.4933,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2018,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,74.9556,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,1985,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,39.2764,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,1995,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,36.5671,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2005,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,49.4946,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2010,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,46.4525,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2015,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,61.1435,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2016,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,67.8661,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2017,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,68.0269,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
4,Afghanistan,2018,Exchange rates: period average (national currency per US dollar),Afghani (AFN),,72.0832,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2005,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8477,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2010,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.7484,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2015,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9185,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2016,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9487,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2017,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8338,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2018,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8734,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2005,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.8038,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2010,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.7543,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
248,Åland Islands,2015,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.9013,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
