T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,5099057.3274,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,10577012.8460,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,15262545.3370,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,16437277.3713,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2016,Imports CIF (millions of US dollars),,,15984050.9236,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2017,Imports CIF (millions of US dollars),,,17799381.6601,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2018,Imports CIF (millions of US dollars),,,19366964.5555,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,5050237.9273,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,10373444.5119,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,15100193.6477,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,16371462.2725,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2016,Exports FOB (millions of US dollars),,,15843502.7170,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2017,Exports FOB (millions of US dollars),,,17353361.7296,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2018,Exports FOB (millions of US dollars),,,18661823.4778,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,,-48819.4001,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,,-203568.3341,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,,-162351.6893,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,,-65815.0988,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2016,Balance imports/exports (millions of US dollars),,,-140548.2067,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
1,"Total, all countries or areas",2017,Balance imports/exports (millions of US dollars),,,-446019.9304,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
