T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2010,Major trading partner 1 (% of exports),Pakistan,,38.9574,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 1 (% of exports),Pakistan,,47.5001,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2010,Major trading partner 1 (% of imports),Iran (Islamic Rep.),,7.4969,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 1 (% of imports),Iran (Islamic Rep.),,19.3620,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2010,Major trading partner 2 (% of exports),India,,16.8238,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 2 (% of exports),India,,38.5674,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2010,Major trading partner 2 (% of imports),Pakistan,,11.5924,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 2 (% of imports),Pakistan,,18.3461,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2010,Major trading partner 3 (% of exports),Iran (Islamic Rep.),,8.1678,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 3 (% of exports),Iran (Islamic Rep.),,3.1558,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2010,Major trading partner 3 (% of imports),China,,13.6556,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
4,Afghanistan,2018,Major trading partner 3 (% of imports),China,,16.7230,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2005,Major trading partner 1 (% of exports),Italy,,72.4366,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 1 (% of exports),Italy,,50.8107,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2018,Major trading partner 1 (% of exports),Italy,,53.4973,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2005,Major trading partner 1 (% of imports),Italy,,29.3235,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 1 (% of imports),Italy,,28.2016,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2018,Major trading partner 1 (% of imports),Italy,,28.6278,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 2 (% of exports),Serbia,,8.3418,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2018,Major trading partner 2 (% of exports),Serbia,,9.4355,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2005,Major trading partner 2 (% of imports),Turkey,,7.4948,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 2 (% of imports),Turkey,,5.6543,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2018,Major trading partner 2 (% of imports),Turkey,,8.1093,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2005,Major trading partner 3 (% of exports),Spain,,0.0914,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 3 (% of exports),Spain,,3.4335,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2018,Major trading partner 3 (% of exports),Spain,,5.4899,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2005,Major trading partner 3 (% of imports),Germany,,5.4363,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
8,Albania,2010,Major trading partner 3 (% of imports),Germany,,5.6096,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
