Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ABW,Aruba,24637,Business Tourism Spending,Local currency in bn (Real prices),0.08,0.1,0.173527,0.192286,0.197999,0.18946,0.173785,0.141765,0.155927,0.150052,0.157613,0.172998,0.175569,0.159404,0.132734,0.136363,0.148607,0.159675,0.16085,0.191937,0.20811,0.226694,0.215645,0.220642,0.22418,0.229607,0.235504,0.240757,0.244426,0.246854,0.252176,0.255839,0.258734,0.264318
ABW,Aruba,24638,Business Tourism Spending,Local currency  _in bn (Nominal prices),0.05,0.06,0.110352,0.124631,0.131245,0.130668,0.126608,0.10795,0.121214,0.119162,0.129369,0.146154,0.156795,0.149238,0.127564,0.129733,0.145633,0.157715,0.155298,0.188603,0.208318,0.224895,0.215644,0.225054,0.23438,0.247255,0.261214,0.275051,0.28762,0.299191,0.314811,0.328963,0.342666,0.360563
ABW,Aruba,24639,Business Tourism Spending,% share,0.739281,0.915169,1.54228,1.70909,1.68905,1.66553,1.56056,1.32272,1.40814,1.18925,1.21822,1.36711,1.35439,1.21847,1.21411,1.28676,1.26669,1.49419,1.47155,1.73985,1.87922,2.0654,1.92664,1.92724,1.92475,1.93907,1.95403,1.95453,1.94581,1.92247,1.9419,1.94882,1.93632,1.96632
ABW,Aruba,24640,Business Tourism Spending,US$ in bn (Nominal prices),0.03,0.03,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.08,0.09,0.09,0.105365,0.116379,0.12564,0.120472,0.125729,0.130938,0.138131,0.14593,0.15366,0.160682,0.167146,0.175872,0.183778,0.191434,0.201432
ABW,Aruba,24641,Business Tourism Spending,US$ in bn (Real prices),0.05,0.05,0.1,0.107422,0.110614,0.105844,0.1,0.08,0.09,0.08,0.09,0.1,0.1,0.09,0.07,0.08,0.08,0.09,0.09,0.107227,0.116263,0.126645,0.120472,0.123263,0.12524,0.128272,0.131567,0.134501,0.136551,0.137907,0.140881,0.142927,0.144544,0.147664
ABW,Aruba,24642,Business Tourism Spending,% growth,10.286,38.9421,31.793,-9.74837,14.0124,-9.15269,-9.45925,-12.3501,25.7015,-2.02888,9.10079,19.6888,4.65593,5.11566,-8.23928,6.02857,2.38457,5.20829,8.38875,10.6353,6.53958,1.61005,-5.95209,5.6228,0.8219,1.30012,1.33127,1.98414,1.16202,1.14758,1.44693,1.294,0.780678,0.886357
ABW,Aruba,24643,Travel and Tourism direct contribution to employment,Thousands of jobs,6.80041,8.45976,8.56248,9.47106,9.25892,10.0514,9.43622,9.42714,9.10449,10.0564,10.1022,9.85197,10.6151,11.1408,10.9356,11.6515,11.0212,13.0906,14.3542,15.3111,15.1898,14.9863,14.5307,14.4052,14.5088,14.6507,14.8657,15.0301,15.1941,15.2416,15.285,15.3366,15.3893,15.4167
ABW,Aruba,24644,Travel and Tourism direct contribution to employment,% share of total employment,17.4818,21.0421,20.9639,22.9258,22.1886,23.9749,22.3874,22.2217,21.7551,23.0548,22.6191,22.0289,23.1383,24.2838,24.8203,26.6014,24.5829,29.2355,31.1271,32.9343,32.401,32.0704,30.146,29.9062,30.1235,30.5053,30.8124,31.2858,31.7701,32.0642,32.4245,32.5478,33.0439,33.5278
ABW,Aruba,24645,Travel and Tourism direct contribution to employment,% growth,18.1296,24.4007,1.21423,10.6112,-2.23984,8.55885,-6.12007,-0.1,-3.42259,10.4556,0.455544,-2.47726,7.74589,4.95286,-1.84202,6.54645,-5.40974,18.776,9.65327,6.66641,-0.792664,-1.33976,-3.03984,-0.863777,0.719093,0.977943,1.46764,1.10592,1.09096,0.312767,0.284912,0.337753,0.343613,0.177887
ABW,Aruba,24646,Travel and Tourism direct contribution to GDP,Local currency  _in bn (Nominal prices),0.385279,0.488602,0.534215,0.616083,0.599184,0.698836,0.674752,0.683382,0.696138,0.802507,0.824297,0.835823,0.946166,1.04406,1.00375,1.03285,1.04465,1.17808,1.27103,1.37417,1.40103,1.39426,1.37027,1.40869,1.48551,1.57353,1.67167,1.77298,1.88014,1.97844,2.08129,2.16977,2.26213,2.35454
ABW,Aruba,24647,Travel and Tourism direct contribution to GDP,Local currency in bn (Real prices),0.643772,0.79111,0.840047,0.950518,0.903944,1.01326,0.926179,0.897445,0.895495,1.01054,1.00426,0.989336,1.05946,1.11518,1.04443,1.08564,1.06598,1.19272,1.31647,1.39846,1.39963,1.40541,1.37027,1.38107,1.42086,1.46122,1.50714,1.55191,1.59779,1.63235,1.6672,1.68745,1.70805,1.72604
ABW,Aruba,24648,Travel and Tourism direct contribution to GDP,Percentage share of total GDP,16.2978,19.7815,19.4827,20.667,19.43,20.8391,19.6304,19.6681,19.2402,20.12,19.7555,19.2586,20.2129,21.2466,22.4403,24.1377,22.889,25.966,27.5055,28.9727,28.9709,29.3217,28.0536,27.6405,27.9864,28.3326,28.7342,28.9754,29.279,29.2976,29.6251,29.7148,29.6074,29.7997
ABW,Aruba,24649,Travel and Tourism direct contribution to GDP,US$ in bn (Nominal prices),0.21524,0.272962,0.298444,0.34418,0.33474,0.390411,0.376956,0.381777,0.388904,0.448328,0.460501,0.46694,0.528585,0.583272,0.560757,0.577012,0.583605,0.658143,0.710071,0.767695,0.782699,0.778916,0.765511,0.786978,0.829891,0.87907,0.933894,0.990489,1.05036,1.10527,1.16273,1.21216,1.26376,1.31538
ABW,Aruba,24650,Travel and Tourism direct contribution to GDP,US$ in bn (Real prices),0.359649,0.441961,0.4693,0.531016,0.504997,0.566069,0.517418,0.501366,0.500277,0.564546,0.56104,0.552702,0.591877,0.623006,0.583483,0.606502,0.59552,0.666322,0.73546,0.781263,0.781918,0.785147,0.765511,0.771548,0.793775,0.816324,0.841976,0.866991,0.892617,0.911928,0.931398,0.942712,0.954218,0.96427
ABW,Aruba,24651,Travel and Tourism direct contribution to GDP,% growth,16.1541,22.8866,6.186,13.1505,-4.89988,12.0937,-8.59453,-3.1024,-0.217293,12.8469,-0.62104,-1.4863,7.08801,5.25926,-6.34385,3.94507,-1.81062,11.889,10.3761,6.22778,0.08,0.412964,-2.50085,0.788536,2.88087,2.84072,3.14234,2.97105,2.95576,2.16338,2.13503,1.21467,1.22055,1.05343
ABW,Aruba,24652,Domestic Tourism Spending,Local currency  _in bn (Nominal prices),0.08,0.08,0.1,0.100061,0.11062,0.112508,0.115847,0.11069,0.120231,0.124708,0.13405,0.154893,0.169953,0.182278,0.169794,0.189396,0.202014,0.213262,0.206459,0.23472,0.246479,0.264889,0.269227,0.278601,0.287599,0.300726,0.314665,0.33007,0.344609,0.36,0.375628,0.390913,0.409288,0.427422
ABW,Aruba,24653,Domestic Tourism Spending,Local currency in bn (Real prices),0.127792,0.132856,0.150321,0.154379,0.166884,0.163129,0.159014,0.145363,0.154663,0.157036,0.163316,0.183341,0.190303,0.194695,0.176676,0.199075,0.206138,0.215912,0.213841,0.238869,0.246233,0.267008,0.269227,0.273138,0.275083,0.279261,0.283694,0.288916,0.292856,0.297026,0.300894,0.304017,0.309037,0.313331
ABW,Aruba,24654,Domestic Tourism Spending,% share,2.7852,2.887,3.03483,2.94533,3.14291,2.92112,2.87401,2.66894,2.81459,2.64713,2.73273,3.0966,3.17651,3.24821,3.25989,3.84707,3.86921,4.09497,3.86741,4.38738,4.54329,5.00506,4.94698,4.89771,4.84269,4.8356,4.82675,4.81211,4.78329,4.74813,4.76067,4.76478,4.76501,4.81466
ABW,Aruba,24655,Domestic Tourism Spending,US$ in bn (Nominal prices),0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.101831,0.09,0.105808,0.112857,0.119141,0.11534,0.131129,0.137698,0.147983,0.150406,0.155643,0.16067,0.168004,0.17579,0.184397,0.192519,0.201117,0.209848,0.218387,0.228652,0.238783
