"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554000000","666000000","726000000","786000000","782000000","850000000","825000000","835000000","858100000","1057000000","1097000000","1064100000","1213400000","1352000000","1223000000","1254000000","1358000000","1412000000","1506000000","1625000000","1664000000","1632000000","1733000000","",
"Afghanistan","AFG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000000","89000000","147000000","165000000","167000000","179000000","121000000","87000000","69000000","19000000","",
"Angola","AGO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000000","38000000","24000000","39000000","31000000","34000000","35000000","51000000","63000000","82000000","103000000","91000000","236000000","293000000","554000000","726000000","653000000","711000000","1241000000","1597000000","1171000000","628000000","884000000","",
"Albania","ALB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70000000","94000000","34000000","60000000","218000000","398000000","451000000","492000000","537000000","756000000","880000000","1057000000","1479000000","1849000000","2012000000","1778000000","1832000000","1624000000","1670000000","1848000000","1613000000","1820000000","2049000000","",
"Andorra","AND","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13945746167.2648","15495885573.7236","16047645902.0133","16079819594.0784","17702433803.4791","18213742737.1717","18954069085.4762","24038010751.4512","29279094483.3727","37069209290.3255","40367797947.7123","45865305600.3091","56422040593.2707","63558742431.4877","64033250220.2726","74155828580.9307","64751803393.3741","72118175877.5468","71189149038.7714","80064047656.2462","83500692493.5984","84923429556.9627","99836322949.4084","",
"United Arab Emirates","ARE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632000000","743000000","814000000","859000000","893000000","1063000000","1200000000","1332000000","1438000000","1593000000","3218000000","4972000000","6072000000","7162000000","7352000000","8577000000","9204000000","10924000000","12389000000","15221000000","17481000000","19496000000","21048000000","",
"Argentina","ARG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550000000","2975000000","3153000000","3353000000","3175000000","3195000000","2756000000","1716000000","2306000000","2660000000","3209000000","3926000000","5030000000","5273000000","4455000000","5605000000","6058000000","5665000000","5199000000","5645000000","5441000000","5186000000","5514000000","",
"Armenia","ARM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","18000000","33000000","41000000","47000000","52000000","81000000","81000000","90000000","189000000","243000000","406000000","522000000","564000000","570000000","694000000","762000000","853000000","905000000","994000000","956000000","988000000","1140000000","",
"American Samoa","ASM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","22000000","",
"Antigua and Barbuda","ATG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247000000","258000000","278000000","282000000","290000000","291000000","272000000","274000000","300000000","337000000","309000000","327000000","338000000","334000000","305000000","298000000","312000000","319000000","299000000","804000000","805000000","804000000","774000000","",
"Australia","AUS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10370000000","11882000000","11735000000","10169000000","11408000000","11594000000","11333000000","12148000000","14981000000","18032000000","19719000000","20408000000","25024000000","27189000000","26909000000","31064000000","34315000000","34137000000","32889000000","33619000000","30872000000","36786000000","43982000000","",
