Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ABW,Aruba,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ABW,Aruba,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,17.3691,18.511,15.7144,14.6753,15.8285,15.9149,16.0173,16.1345,16.1826,16.2468,16.3311,16.4161,16.5014,16.5872,16.6734,16.76,16.8471,16.9347,17.0227,17.1111,17.2,17.2894,17.3792,17.4695,17.5603,17.6515,17.7432,17.8354,17.9281,18.0212,18.1148,18.2089,18.3035,18.3986
ABW,Aruba,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.195498,0.229916,0.330223,0.232969,0.223276,0.153693,0.109398,0.09,0.107927,0.158663,0.249757,0.298284,0.287773,0.29587,0.232038,0.23232,0.216569,0.203147,0.193966,0.190947,0.188123,0.192187,0.193334,0.196801,0.200177,0.204063,0.209092,0.214346,0.221743,0.227012,0.230596,0.232477,0.232387,0.233371
ABW,Aruba,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,42.5006,61.0173,63.4503,64.0021,59.8351,60.9237,57.0944,57.0964,55.914,57.4756,59.8032,60.1685,62.6221,64.6012,70.8383,78.9112,71.9823,81.9696,85.2772,88.7835,88.6834,89.9234,86.5184,85.6,86.5954,87.6131,88.6402,89.2964,90.1745,90.1796,90.9745,91.2307,91.0139,91.6512
ABW,Aruba,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.937878,1.36326,1.52839,1.64447,1.55515,1.65492,1.50489,1.45546,1.45385,1.61271,1.69837,1.72677,1.83371,1.89428,1.84191,1.98278,1.87282,2.10345,2.2802,2.39409,2.39355,2.40788,2.36087,2.38941,2.4561,2.52432,2.59736,2.67189,2.74911,2.80697,2.86019,2.89433,2.93329,2.96568
AGO,Angola,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0,0,0,0,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
AGO,Angola,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,1.11433,1.14593,1.06104,1.06835,1.06835,1.06835,1.07123,1.07411,1.07701,1.07991,1.08281,1.08573,1.08865,1.09158,1.09452,1.09747,1.10042,1.10338,1.10635,1.10933,1.11232,1.11531,1.11832,1.12133,1.12435,1.12737,1.1304,1.13343,1.13648,1.13953,1.14259,1.14566,1.14874,1.15182
AGO,Angola,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.290084,0.406982,0.484619,0.759132,0.671038,0.401967,0.330884,0.260602,0.383128,0.313603,0.332839,0.519386,1.18095,0.72809,1.45459,0.998772,0.976196,0.949718,1.03617,1.18147,1.35433,1.20144,1.25865,1.27086,1.33981,1.35286,1.36849,1.37452,1.38447,1.40902,1.42948,1.45122,1.46451,1.47739
AGO,Angola,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,1.74291,2.0869,1.3131,3.35741,2.68968,1.99362,1.93643,2.76941,3.01094,3.58121,3.42679,3.24902,4.20504,3.19041,4.57768,3.92187,3.27314,3.96158,4.38231,4.28051,4.24098,3.6797,3.80397,3.84565,3.87318,3.80859,3.71788,3.64615,3.58464,3.52763,3.47574,3.42187,3.37085,3.31963
AGO,Angola,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.601688,0.801129,0.543904,1.48531,1.22846,0.937973,0.949523,1.50297,1.68291,2.22089,2.44451,2.58534,3.81487,3.21757,4.77261,4.28185,3.69765,4.85767,5.63981,5.73425,5.73409,4.78714,5.00226,5.17136,5.3563,5.43288,5.49017,5.59369,5.72591,5.86812,6.02175,6.1703,6.32873,6.48434
ALB,Albania,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ALB,Albania,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,3.85652,4.7509,2.54378,3.56288,3.60247,3.61001,3.65105,3.66175,3.714,3.77357,3.77278,3.7871,3.80163,3.81643,3.83045,3.84498,3.85996,3.87499,3.89035,3.90589,3.92191,3.93822,3.9546,3.97084,3.98754,4.00502,4.02258,4.04021,4.05792,4.07571,4.09358,4.11152,4.12954,4.14765
ALB,Albania,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.03,0.04,0.05,0.04,0.04,0.05,0.121279,0.163734,0.233653,0.21996,0.227882,0.219005,0.221711,0.213674,0.185528,0.194949,0.174363,0.17873,0.20599,0.207414,0.222613,0.232963,0.269852,0.284735,0.29685,0.311242,0.324848,0.337548,0.350484,0.364292,0.380021,0.397041,0.416523,0.437115
